bga_id,bga_name,bgg_id,status,note
1262,Via Magica,300936,kept,
1369,Onitama,160477,kept,
1116,Ice Cold Ice Hockey,154732,kept,
1328,Oriflamme,287084,kept,
1360,Super Fantasy Brawl,194517,kept,
1396,Chinese checkers,2386,kept,
1299,No Thanks!,12942,kept,
1685,None Shall Pass!,369434,kept,
1866,Moon River,378001,kept,
1130,Eminent Domain,68425,kept,
1163,Red7,161417,kept,
1339,Medina,167270,kept,
1707,SETUP,379110,kept,
1847,Zuuli,338467,kept,
1103,The Builders: Middle Ages,144553,kept,
1956,Trailblazers,352454,kept,
1715,Photosynthesis,218603,kept,
2586,The Isle of Cats Duel,431718,kept,
1219,Klaverjassen,26468,kept,
2141,Karvi,399806,kept,
1817,Open Face Chinese Poker,285040,kept,
1826,Quibbles,388539,kept,
2042,Golfie,419705,kept,
2223,Arboretum,140934,kept,
2323,Scratch and Catch,441764,kept,
1468,Spot it,63268,kept,
20,Troyes,73439,kept,
47,Battle Sheep,54137,kept,
62,P.I.,129050,kept,
16,Haggis,37628,kept,
1109,Coup,131357,kept,
1402,Happy City,319793,kept,
1829,Vault: A Solitaire Dice Game,350759,kept,
2326,Carson City,177352,kept,
1294,Rage,568,kept,
1481,Deus,162082,kept,
2348,A.E.R.O.,118215,kept,
1493,Imhotep,191862,kept,
1852,Ancient Knowledge,338093,kept,
2092,Sail,377470,kept,
1216,Unconditional Surrender! World War 2 in Europe,61487,kept,
1575,Hoola,366915,kept,
2363,Kikai - Bricolage Heads,406231,kept,
1081,Go,188,kept,
2526,Awkward Guests: The Walton Case,188866,kept,
1296,Schrödinger's Cats,172235,kept,
1376,Go Nuts for Donuts,184346,kept,
2198,Architects of Amytis,415910,kept,
2455,Please Don't Burn My Village,438119,kept,
1194,President,20533,kept,
1692,Paint the Roses,253759,kept,
2145,Umbrella,402125,kept,
1218,Butterfly,284229,kept,
2512,Spirited,457476,kept,
1940,Mandala,264241,kept,
1011,Through the Ages,25613,kept,
1567,Fairy Trails,288775,kept,
1674,Tiwanaku,267979,kept,
2102,Grove,329873,kept,
2173,Mexica,2955,kept,
54,Senet,2399,kept,
1166,Ginkgopolis,128271,kept,
1427,Chocolate Factory,240567,kept,
2116,For Northwood!,334590,kept,
2594,Pondscape,435330,kept,
2654,Biome,382549,kept,
1667,Don't Go In There,346057,kept,
64,Elfenland,10,kept,
1678,Dice Hospital: ER – Emergency Roll,334646,kept,
2062,Finca,261720,kept,
1123,Taluva,24508,kept,
1222,Trekking the World,300442,kept,
1897,Donuts,341358,kept,
2140,Dice Mission,425685,kept,
2367,Verso,434683,kept,
18,Tobago,42215,kept,
1599,Evergreen,363307,kept,
39,Quarto,681,kept,
1078,Celestia,175117,kept,
2550,TEMBO: Survival on the Savanna,442655,kept,
2587,Lodge,452300,kept,
1203,99 (addition card game),101420,kept,
1764,Line It,382960,kept,
1953,Mythic Battles: Ragnarök,331398,kept,
1722,The Fox in the Forest,221965,kept,
2088,Harvest,395623,kept,
2131,Dungeon Rummy,419094,kept,
5,Kahuna,394,kept,
1147,The King's Guild,206327,kept,
1967,Four Gardens,296043,kept,
2000,Sherlock 13,149869,kept,
34,The Boss,85005,kept,
1240,Cacao,171499,kept,
1438,Star Fluxx,102104,kept,
1772,Pocket Cats,402126,kept,
56,Libertalia,125618,kept,
1444,Lost Explorers,311918,kept,
1796,The Bloody Inn,180593,kept,
1850,Bag of Chips,344114,kept,
2584,Soothsayers,441114,kept,
38,Niagara,13308,kept,
41,Expedition: Northwest Passage,71074,kept,
1840,Neom,246663,kept,
1938,The Shipwreck Arcana,220517,kept,
2058,Festival,413948,kept,
2319,TacTile,415808,kept,
2354,Contract Bridge,2181,kept,
2445,Molly House,349750,kept,
2704,Verdant Arizona,422219,kept,
